Id;RoundBetsId;MatchId;Active;Player1Id;Player1Name;Score1;Player2Id;Player2Name;Score2;ScoreValue;Error;BetPlaced;MatchStartDate
1;1;870_9_3;1;67;David Grace;2;25;Andrew Higginson;4;NULL;NULL;0;2020-10-15 00:00:00.000
2;1;870_9_6;1;605;Steven Hallworth;1;22;Anthony McGill;4;NULL;NULL;0;2020-10-15 00:00:00.000
3;1;870_9_1;1;17;Mark Selby;4;200;Wenbo Liang;3;NULL;NULL;0;2020-10-15 09:00:00.000
4;1;870_9_2;1;666;Hossein Vafaei;1;106;Jamie Clarke;4;NULL;NULL;0;2020-10-15 09:00:00.000
5;1;870_9_5;1;96;Robbie Williams;2;61;Kurt Maflin;4;NULL;NULL;0;2020-10-15 09:00:00.000
6;1;870_9_7;1;16;Barry Hawkins;4;1038;Joe O'Connor;2;NULL;NULL;0;2020-10-15 09:00:00.000
7;1;870_9_8;1;15;Mark Davis;2;154;Neil Robertson;4;NULL;NULL;0;2020-10-15 13:30:00.000
8;1;870_9_10;1;26;Allan Taylor;2;546;Gary Wilson;4;NULL;NULL;0;2020-10-15 12:00:00.000
9;1;870_9_11;1;239;Alexander Ursenbacher;4;19;Ben Woollaston;2;NULL;NULL;0;2020-10-15 09:00:00.000
10;1;870_9_12;1;1407;Si Xu;1;39;Kyren Wilson;4;NULL;NULL;0;2020-10-15 09:00:00.000
11;1;870_9_13;1;237;John Higgins;4;93;Jimmy Robertson;2;NULL;NULL;0;2020-10-15 12:00:00.000
12;1;870_9_14;1;224;Junhui Ding;4;8;Tom Ford;2;NULL;NULL;0;2020-10-15 09:00:00.000
13;1;870_9_15;1;2335;Ben Hancorn;2;90;Jak Jones;4;NULL;NULL;0;2020-10-15 12:00:00.000
14;1;870_9_16;1;9;Matthew Stevens;1;5;Ronnie O'Sullivan;4;NULL;NULL;0;2020-10-15 13:30:00.000
15;1;870_9_4;1;906;Yuelong Zhou;4;998;David Lilley;2;NULL;NULL;0;2020-10-15 12:00:00.000
16;1;870_9_9;1;12;Judd Trump;4;125;Michael Holt;2;NULL;NULL;0;2020-10-15 12:00:00.000
17;2;870_9_1;1;17;Mark Selby;4;200;Wenbo Liang;3;NULL;NULL;0;2020-10-15 09:00:00.000
18;2;870_9_2;1;666;Hossein Vafaei;2;106;Jamie Clarke;4;NULL;NULL;0;2020-10-15 09:00:00.000
19;2;870_9_3;1;67;David Grace;3;25;Andrew Higginson;4;NULL;NULL;0;2020-10-15 12:00:00.000
20;2;870_9_4;1;906;Yuelong Zhou;4;998;David Lilley;2;NULL;NULL;0;2020-10-15 12:00:00.000
21;2;870_9_5;1;96;Robbie Williams;2;61;Kurt Maflin;4;NULL;NULL;0;2020-10-15 09:00:00.000
22;2;870_9_6;1;605;Steven Hallworth;2;22;Anthony McGill;4;NULL;NULL;0;2020-10-15 09:00:00.000
23;2;870_9_7;1;16;Barry Hawkins;4;1038;Joe O'Connor;1;NULL;NULL;0;2020-10-15 09:00:00.000
24;2;870_9_8;1;15;Mark Davis;2;154;Neil Robertson;4;NULL;NULL;0;2020-10-15 13:30:00.000
25;2;870_9_9;1;12;Judd Trump;4;125;Michael Holt;3;NULL;NULL;0;2020-10-15 12:00:00.000
26;2;870_9_10;1;26;Allan Taylor;2;546;Gary Wilson;4;NULL;NULL;0;2020-10-15 12:00:00.000
27;2;870_9_11;1;239;Alexander Ursenbacher;2;19;Ben Woollaston;4;NULL;NULL;0;2020-10-15 09:00:00.000
28;2;870_9_12;1;1407;Si Xu;1;39;Kyren Wilson;4;NULL;NULL;0;2020-10-15 09:00:00.000
29;2;870_9_13;1;237;John Higgins;4;93;Jimmy Robertson;1;NULL;NULL;0;2020-10-15 12:00:00.000
30;2;870_9_14;1;224;Junhui Ding;4;8;Tom Ford;2;NULL;NULL;0;2020-10-15 09:00:00.000
31;2;870_9_15;1;2335;Ben Hancorn;3;90;Jak Jones;4;NULL;NULL;0;2020-10-15 12:00:00.000
32;2;870_9_16;1;9;Matthew Stevens;2;5;Ronnie O'Sullivan;4;NULL;NULL;0;2020-10-15 13:30:00.000
33;3;870_10_1;1;17;Mark Selby;4;666;Hossein Vafaei;2;NULL;NULL;0;2020-10-15 18:00:00.000
34;3;870_10_3;1;96;Robbie Williams;2;22;Anthony McGill;4;NULL;NULL;0;2020-10-15 18:00:00.000
35;3;870_10_6;1;19;Ben Woollaston;2;39;Kyren Wilson;4;NULL;NULL;0;2020-10-15 18:00:00.000
36;3;870_10_2;1;25;Andrew Higginson;1;906;Yuelong Zhou;4;NULL;NULL;0;2020-10-15 18:00:00.000
37;3;870_10_4;1;16;Barry Hawkins;3;154;Neil Robertson;4;NULL;NULL;0;2020-10-15 19:00:00.000
38;3;870_10_5;1;12;Judd Trump;4;546;Gary Wilson;2;NULL;NULL;0;2020-10-15 18:00:00.000
39;3;870_10_7;1;237;John Higgins;4;224;Junhui Ding;3;NULL;NULL;0;2020-10-15 18:00:00.000
40;3;870_10_8;1;90;Jak Jones;3;9;Matthew Stevens;4;NULL;NULL;0;2020-10-15 19:00:00.000
41;4;870_10_1;1;17;Mark Selby;4;666;Hossein Vafaei;3;NULL;NULL;0;2020-10-15 18:00:00.000
42;4;870_10_2;1;25;Andrew Higginson;2;906;Yuelong Zhou;4;NULL;NULL;0;2020-10-15 18:00:00.000
43;4;870_10_3;1;96;Robbie Williams;1;22;Anthony McGill;4;NULL;NULL;0;2020-10-15 18:00:00.000
44;4;870_10_4;1;16;Barry Hawkins;3;154;Neil Robertson;4;NULL;NULL;0;2020-10-15 19:00:00.000
45;4;870_10_5;1;12;Judd Trump;4;546;Gary Wilson;3;NULL;NULL;0;2020-10-15 18:00:00.000
46;4;870_10_6;1;19;Ben Woollaston;2;39;Kyren Wilson;4;NULL;NULL;0;2020-10-15 18:00:00.000
47;4;870_10_7;1;237;John Higgins;4;224;Junhui Ding;3;NULL;NULL;0;2020-10-15 18:00:00.000
48;4;870_10_8;1;90;Jak Jones;2;9;Matthew Stevens;4;NULL;NULL;0;2020-10-15 19:00:00.000
49;5;870_13_3;1;12;Judd Trump;3;39;Kyren Wilson;5;NULL;NULL;0;2020-10-16 00:00:00.000
50;5;870_13_2;1;96;Robbie Williams;3;154;Neil Robertson;5;NULL;NULL;0;2020-10-16 00:00:00.000
51;6;870_13_1;1;17;Mark Selby;5;906;Yuelong Zhou;3;NULL;NULL;0;2020-10-16 11:00:00.000
52;6;870_13_2;1;96;Robbie Williams;2;154;Neil Robertson;5;NULL;NULL;0;2020-10-16 18:00:00.000
53;6;870_13_3;1;12;Judd Trump;5;39;Kyren Wilson;3;NULL;NULL;0;2020-10-16 18:00:00.000
54;6;870_13_4;1;237;John Higgins;5;90;Jak Jones;2;NULL;NULL;0;2020-10-16 13:00:00.000
55;5;870_13_1;1;17;Mark Selby;5;906;Yuelong Zhou;4;NULL;NULL;0;2020-10-16 11:00:00.000
56;5;870_13_4;1;237;John Higgins;5;90;Jak Jones;2;NULL;NULL;0;2020-10-16 13:00:00.000
57;7;870_14_1;1;17;Mark Selby;4;154;Neil Robertson;6;NULL;NULL;0;2020-10-17 12:00:00.000
58;7;870_14_2;1;12;Judd Trump;4;237;John Higgins;6;NULL;NULL;0;2020-10-17 18:00:00.000
59;8;870_14_1;1;17;Mark Selby;6;154;Neil Robertson;4;NULL;NULL;0;2020-10-17 12:00:00.000
60;8;870_14_2;1;12;Judd Trump;6;237;John Higgins;4;NULL;NULL;0;2020-10-17 18:00:00.000
61;9;870_15_1;1;154;Neil Robertson;6;12;Judd Trump;9;NULL;NULL;0;2020-10-18 12:00:00.000
62;10;870_15_1;1;154;Neil Robertson;6;12;Judd Trump;9;NULL;NULL;0;2020-10-18 12:00:00.000
